"","Category","Name","Price","Ratings","Num_of_reviews"
"62","Suitcase","Kono Large Suitcase Hard Shell Travel Trolley 4 Spinner Wheels Lightweight Polypropylene Check in Luggage with TSA Lock (Turquoise,76cm/100L)","£81.66","4.6 out of 5 stars","1,967"
"63","Suitcase","Amazon Basics Hardside Luggage ABS Hard-Shell Spinner / Suitcase with 4 Wheels, 78 cm, Navy Blue","£80.27","4.5 out of 5 stars","43,054"
"64","Suitcase","American Tourister Soundbox - Spinner Large Expandable Suitcase, 77 cm, 110 liters, Green (Jade Green)","£133.49","4.6 out of 5 stars","7,983"
"65","Suitcase","Samsonite S'Cure - Spinner L Suitcase, 75 cm, 102 L, Black (Black)","£166.50","4.5 out of 5 stars","14,483"
"66","Suitcase","Samsonite Flux Spinner M Expandable Suitcase, 68 cm, 85 L, Black","£160.32","4.3 out of 5 stars","3,247"
"67","Suitcase","HAUPTSTADTKOFFER Mitte - Large Hard-Shell Suitcase, TSA, 4 Wheels, Check-In Luggage with 8 cm Volume Expansion, 77cm, 130 liters, Dark Blue","£161.10","4.3 out of 5 stars","3,332"
"68","Suitcase","Samsonite Lite-Cube - Spinner M Suitcase, 68 cm, 67.5 Litre, Grey (Graphite)","£94.09","4.5 out of 5 stars","336"
"69","Suitcase","Eastpak Tranverz M Suitcase, 67 cm, 78 L","£332.10","4.7 out of 5 stars","2,608"
"70","Suitcase","Travel Select Amsterdam Expandable Rolling Upright Luggage","£90.09","4.1 out of 5 stars","8,842"
"71","Suitcase","EASTPAK Tranverz L Suitcase, 79 cm, 121 L","£103.84","4.6 out of 5 stars","4,411"
"72","Suitcase","American Tourister Sea Seeker - Spinner XL, Suitcase, 80 cm, 92.5 L, Green (Aqua Green), XL (80 cm - 92.5 L)","£114.99","4.4 out of 5 stars","175"
"73","Suitcase","Kono Fashion Hand Luggage Lightweight ABS Hard Shell Trolley Travel Suitcase with 4 Wheels Cabin Carry-on Suitcases (20"", Nude)","£120.15","4.5 out of 5 stars","4,140"
"74","Suitcase","American Tourister Speedstar Spinner","£121.50","4.4 out of 5 stars","83"
"75","Suitcase","DK Luggage 25"" Medium Hard Shell Suitcase 4 Wheel Spinner Luggage ABS147 Green","£31.83","4.5 out of 5 stars","61"
"76","Suitcase","COOLIFE Suitcase Trolley Carry On Hand Cabin Luggage Hard Shell Travel Bag Lightweight with TSA Lock,The Suitcase Included 1pcs Travel Bag and 1pcs Toiletry Bag (Black/Brown, 28 Inch Luggage Set)","£113.37","4.7 out of 5 stars","467"
"77","Suitcase","Pierre Cardin Soft Shell 69cm Suitcase with x4 Spinner Wheels - Soft Sided Luggage, Durable & Quality Tested Soft Travel Bag | Lightweight 2.5 Kg 27"" 71 litres Capacity CL610 (Medium, Grey & Orange)","£143.10","4.4 out of 5 stars","349"
"78","Suitcase","HAUPTSTADTKOFFER Mitte - Large Hard-Shell Suitcase, TSA, 4 Wheels, Check-In Luggage with 8 cm Volume Expansion, 77cm, 130 liters, Champagne","£36.62","4.4 out of 5 stars","824"
"79","Suitcase","LUGG 20 Inch Jetset Lightweight Travel Carry On Suitcase, ABS, Water Resistant & TSA Lock - Easyjet Overhead (55x35x20.5cm)","£74.99","4.4 out of 5 stars","74"
"80","Suitcase","American Tourister Holiday Heat - Spinner Suitcase, 79.5 cm, 108 Litre, tsa padlock, Black (Black)","£96.80","4.5 out of 5 stars","2,733"
"81","Suitcase","British Traveller Medium Size Suitcase Durable PC Hard Shell Luggage Suitcase Lightweight Check in Hold Luggage with 4 Spinner Wheels TSA Lock YKK Zipper(24"", 64cm Navy)","£99.51","4.4 out of 5 stars","179"
"82","Suitcase","Kono Large Suitcase Lightweight ABS Hard Shell Suitcase Durable 28"" Check in Hold Luggage with 4 Wheels and TSA Lock (76cm 99L, Cream)","£26.99","4.2 out of 5 stars","142"
"83","Suitcase","Kono 19 inch Carry On Luggage Lightweight Hard Shell ABS 4 Wheel Spinner Suitcase 2 Year Warranty Durable (Grey)","£112.45","4.4 out of 5 stars","2,080"
"84","Suitcase","Flight Knight Lightweight 4 Wheel ABS Hard Case Suitcases Cabin & Hold Luggage Options Approved For Over 100 Airlines Including easyJet, British Airways, Ryanair, Virgin Atlantic, Emirates & Many More","£33.32","3.9 out of 5 stars","184"
